Foresight Sports: mhutch84 - 12/6/2021 3:44 PM
Club, Ball, Ball Speed, Launch Angle, Side Angle, Backspin, Sidespin, Tilt Angle, Total Spin, Carry, Total, Offline, Descent Angle, Peak Height, To Pin, Club Speed, Efficiency, Angle of Attack, Club Path, Face to Path, Lie, Loft, Closure Rate, Face Impact Lateral, Face Impact Vertical
, , MPH, °, °, RPM, RPM, °, RPM, YDS, YDS, YDS, °, YDS, YDS, MPH, , °, °, °, °, °, dps, mm, mm
, , , , , , , , , , , , , , , , , , , , , , , , 
Driver, Standard, 157.0, 18.0, 2.8, 3680, 383, 5.9, 3700, 251.3, 267.3, 29.6, 51.1, 55.4, 112.6, 110.9, 1.42, 7.6, 3.7, --, --, --, --, --, --
Driver, Standard, 152.5, 11.7, 3.3, 4348, 818, 10.7, 4424, 234.6, 249.0, 41.3, 45.3, 37.2, 135.2, 109.2, 1.40, 3.2, 3.4, --, --, --, --, --, --
Average, , 158.7, 16.2, 3.3, 2998, -283, -8.0, 3093, 262.8, 280.7, -1.0, 46.4, 47.8, 100.2, 110.5, 1.44, 7.0, 4.1, --, --, --, --, --, --
Std. Dev., , 3.0, 1.6, 1.4, 762, 563, 15.1, 630, 13.0, 13.7, 31.4, 5.3, 8.4, 16.3, 1.1, 0.02, 0.9, 0.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
, , , , , , , , , , , , , , , , , , , , , , , , 
3-Wood, Standard, 155.8, 13.9, 5.1, 3148, -85, -1.5, 3149, 259.6, 277.8, 20.4, 45.0, 42.4, 99.4, 108.9, 1.43, 3.6, 3.0, --, --, --, --, --, --
3-Wood, Standard, 157.3, 12.1, 2.4, 2763, -1166, -22.9, 2999, 256.5, 276.3, -45.2, 40.3, 33.7, 111.6, 109.1, 1.44, 3.9, 3.5, --, --, --, --, --, --
3-Wood, Standard, 143.6, 14.1, 5.2, 1582, -686, -23.4, 1724, 244.1, 271.6, -17.0, 31.4, 25.8, 104.8, 102.4, 1.40, 6.3, 3.4, --, --, --, --, --, --
3-Wood, Standard, 145.5, 14.7, 6.7, 2092, -171, -4.7, 2099, 255.7, 277.6, 22.4, 38.1, 33.7, 100.2, 105.6, 1.38, 4.6, 4.1, --, --, --, --, --, --
3-Wood, Standard, 155.3, 10.6, 3.8, 4271, 163, 2.2, 4274, 241.4, 256.0, 22.7, 44.3, 36.3, 121.5, 109.9, 1.41, 2.9, 3.2, --, --, --, --, --, --
